data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
7263461,586,PAK5379,5379,31-Dec-10,2010,1,Protests,Peaceful protest,Protesters (Pakistan),,6,,,0,60,South Asia,Pakistan,Khyber Pakhtunkhwa,Mansehra,Mansehra,Mansehra,34.3355,73.2026,1,Nation (Pakistan),National,Protests were held outside mosques after Friday prayers on 31 Dec 2010 in Mansehra to protest against changes in the blasphemy law. This was on the call of TNR.,0,1603755471,PAK
7263430,586,PAK5383,5383,31-Dec-10,2010,1,Protests,Peaceful protest,Protesters (Pakistan),,6,,,0,60,South Asia,Pakistan,Punjab,Vehari,Burewala,Burewala,30.1667,72.65,1,Nation (Pakistan),National,Protests were held outside mosques after Friday prayers on 31 Dec 2010 in Burewala to protest against changes in the blasphemy law. This was on the call of TNR.,0,1603755470,PAK
6059942,788,TUN97,97,31-Dec-10,2010,1,Protests,Protest with intervention,Police Forces of Tunisia (1987-2011),,1,Protesters (Tunisia),UGTT: Tunisian General Labour Union,6,16,Northern Africa,Tunisia,Monastir,Ksibet El Mediouni,,Touza,35.6354,10.8273,1,Al Jazeera,Regional,Security forces blocked a protest that union members and unemployed people were planning to launch from the office of the General Union of Tunisian Workers in the city of Tuza.,0,1571164547,TUN
6059916,788,TUN99,99,31-Dec-10,2010,1,Protests,Excessive force against protesters,Police Forces of Tunisia (1987-2011),,1,Protesters (Tunisia),Lawyers (Tunisia),6,16,Northern Africa,Tunisia,Tunis,Bab Souika,,Tunis,36.819,10.1658,1,Al Jazeera,Regional,"Police in Tunisia ""assaulted"" lawyers while they were trying to stage stand-up protests in front of the building of the primary court in the capital Tunis.",0,1571164547,TUN
6059874,788,TUN89,89,31-Dec-10,2010,1,Protests,Protest with intervention,Police Forces of Tunisia (1987-2011),,1,Protesters (Tunisia),Lawyers (Tunisia),6,16,Northern Africa,Tunisia,Medenine,Djerba Midoun,,Djerba,33.8,10.9,1,Al Jazeera,Regional,"Security forces barricaded court houses in cities like Bizerte, Jerba and Sousse and beat lawyers who were trying to stage demonstrations in Sidi Bouzid, Gafsa and Mahdia.",0,1571164547,TUN
6059753,788,TUN88,88,31-Dec-10,2010,1,Protests,Protest with intervention,Police Forces of Tunisia (1987-2011),,1,Protesters (Tunisia),Lawyers (Tunisia),6,16,Northern Africa,Tunisia,Bizerte,Bizerte Nord,,Bizerte,37.2744,9.8739,1,Al Jazeera,Regional,"Security forces barricaded court houses in cities like Bizerte, Jerba and Sousse and beat lawyers who were trying to stage demonstrations in Sidi Bouzid, Gafsa and Mahdia.",0,1571164547,TUN
6059492,788,TUN98,98,31-Dec-10,2010,1,Protests,Peaceful protest,Protesters (Tunisia),Journalists (Tunisia),6,,,0,60,Northern Africa,Tunisia,Tunis,Bab Souika,,Tunis,36.819,10.1658,1,Al Jazeera,Regional,Six journalists staged a sit-in inside the Ministry of Interior headquarters in Tunis in protest against police reportedly assaulting and harassing journalists while they were covering the unrest.,0,1571164547,TUN
6059387,788,TUN95,95,31-Dec-10,2010,1,Protests,Excessive force against protesters,Police Forces of Tunisia (1987-2011),,1,Protesters (Tunisia),Lawyers (Tunisia),6,16,Northern Africa,Tunisia,Sidi Bou Zid,Sidi Bouzid Est,,Sidi Bouzid,35.0382,9.4849,1,Al Jazeera,Regional,"Security forces barricaded court houses in cities like Bizerte, Jerba and Sousse and beat lawyers who were trying to stage demonstrations in Sidi Bouzid, Gafsa and Mahdia.",0,1571164547,TUN
6059281,788,TUN96,96,31-Dec-10,2010,1,Protests,Protest with intervention,Police Forces of Tunisia (1987-2011),,1,Protesters (Tunisia),Lawyers (Tunisia),6,16,Northern Africa,Tunisia,Sousse,Sousse Medina,,Sousse,35.8254,10.637,1,Al Jazeera,Regional,"Security forces barricaded court houses in cities like Bizerte, Jerba and Sousse and beat lawyers who were trying to stage demonstrations in Sidi Bouzid, Gafsa and Mahdia.",0,1571164547,TUN
6059270,788,TUN93,93,31-Dec-10,2010,1,Protests,Excessive force against protesters,Police Forces of Tunisia (1987-2011),,1,Protesters (Tunisia),Lawyers (Tunisia),6,16,Northern Africa,Tunisia,Mahdia,Mahdia,,Mahdia,35.5047,11.0622,1,Al Jazeera,Regional,"Security forces barricaded court houses in cities like Bizerte, Jerba and Sousse and beat lawyers who were trying to stage demonstrations in Sidi Bouzid, Gafsa and Mahdia.",0,1571164547,TUN
